 C2 CompilerThre 15501  3162.837627:        562                                                               LLC-loads:      7f1fdc9827ca CodeHeap::search_freelist+0x7a (/home/upmem0054/hwanhong/jdk-17.0.1/lib/server/libjvm.so)
            java 15471  3166.708190:        564                                                               LLC-loads:      7f1fc537c91c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-15470.map)
            java 15471  3166.708205:       3805                                                              mem-stores:      7f1fc537c901 int pim.algorithm.TreeNode.search(int)+0x41 (/tmp/perf-15470.map)
            java 15471  3166.708211:        292                                                         LLC-load-misses:      7f1fc537c9c1 int pim.algorithm.TreeNode.search(int)+0x101 (/tmp/perf-15470.map)
            java 15471  3166.708239:        561                                                               LLC-loads:      7f1fc537c97b int pim.algorithm.TreeNode.search(int)+0xbb (/tmp/perf-15470.map)
            java 15471  3166.708252:       3839                                                              mem-stores:      7f1fc537c8f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-15470.map)
            java 15471  3166.708266:        291                                                         LLC-load-misses:      7f1fc537c97b int pim.algorithm.TreeNode.search(int)+0xbb (/tmp/perf-15470.map)
            java 15471  3166.708290:        564                                                               LLC-loads:      7f1fc537c96d int pim.algorithm.TreeNode.search(int)+0xad (/tmp/perf-15470.map)
            java 15471  3166.708298:       3880                                                              mem-stores:      7f1fc537c8f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-15470.map)
            java 15471  3166.708318:        289                                                         LLC-load-misses:      7f1fc537c97b int pim.algorithm.TreeNode.search(int)+0xbb (/tmp/perf-15470.map)
            java 15471  3166.708338:        565                                                               LLC-loads:      7f1fc537c97b int pim.algorithm.TreeNode.search(int)+0xbb (/tmp/perf-15470.map)
            java 15471  3166.708347:       3922                                                              mem-stores:      7f1fc537c8fc int pim.algorithm.TreeNode.search(int)+0x3c (/tmp/perf-15470.map)
            java 15471  3166.708371:        289                                                         LLC-load-misses:      7f1fc537c8f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-15470.map)
            java 15471  3166.708394:        568                                                               LLC-loads:      7f1fc537c8f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-15470.map)
            java 15471  3166.708403:       3943                                                              mem-stores:      7f1fc537c91c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-15470.map)
            java 15471  3166.708422:        288                                                         LLC-load-misses:      7f1fc537c993 int pim.algorithm.TreeNode.search(int)+0xd3 (/tmp/perf-15470.map)
            java 15471  3166.708449:        562                                                               LLC-loads:      7f1fc537c90e int pim.algorithm.TreeNode.search(int)+0x4e (/tmp/perf-15470.map)
            java 15471  3166.708455:       3900                                                              mem-stores:      7f1fc537c97b int pim.algorithm.TreeNode.search(int)+0xbb (/tmp/perf-15470.map)
            java 15471  3166.708473:        288                                                         LLC-load-misses:      7f1fc537c90e int pim.algorithm.TreeNode.search(int)+0x4e (/tmp/perf-15470.map)
            java 15471  3166.708504:        559                                                               LLC-loads:      7f1fc537c9ab int pim.algorithm.TreeNode.search(int)+0xeb (/tmp/perf-15470.map)
            java 15471  3166.708508:       3887                                                              mem-stores:      7f1fc537c8f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-15470.map)
            java 15471  3166.708527:        288                                                         LLC-load-misses:      7f1fc537c90e int pim.algorithm.TreeNode.search(int)+0x4e (/tmp/perf-15470.map)
            java 15471  3166.708555:        554                                                               LLC-loads:      7f1fc537c8f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-15470.map)
            java 15471  3166.708558:       3863                                                              mem-stores:      7f1fc537c90a int pim.algorithm.TreeNode.search(int)+0x4a (/tmp/perf-15470.map)
            java 15471  3166.708579:        287                                                         LLC-load-misses:      7f1fc537c90e int pim.algorithm.TreeNode.search(int)+0x4e (/tmp/perf-15470.map)
            java 15471  3166.708607:        554                                                               LLC-loads:      7f1fc537c952 int pim.algorithm.TreeNode.search(int)+0x92 (/tmp/perf-15470.map)
            java 15471  3166.708609:       3865                                                              mem-stores:      7f1fc537c952 int pim.algorithm.TreeNode.search(int)+0x92 (/tmp/perf-15470.map)
            java 15471  3166.708630:        287                                                         LLC-load-misses:      7f1fc537c8f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-15470.map)
            java 15471  3166.708658:        554                                                               LLC-loads:      7f1fc537c97b int pim.algorithm.TreeNode.search(int)+0xbb (/tmp/perf-15470.map)
            java 15471  3166.708660:       3867                                                              mem-stores:      7f1fc537c97b int pim.algorithm.TreeNode.search(int)+0xbb (/tmp/perf-15470.map)
            java 15471  3166.708680:        287                                                         LLC-load-misses:      7f1fc537c96d int pim.algorithm.TreeNode.search(int)+0xad (/tmp/perf-15470.map)
            java 15471  3166.708710:        554                                                               LLC-loads:      7f1fc537c8f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-15470.map)
            java 15471  3166.708712:       3867                                                              mem-stores:      7f1fc537c8f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-15470.map)
            java 15471  3166.708730:        288                                                         LLC-load-misses:      7f1fc537c9ab int pim.algorithm.TreeNode.search(int)+0xeb (/tmp/perf-15470.map)
            java 15471  3166.708758:        553                                                               LLC-loads:      7f1fc537c90e int pim.algorithm.TreeNode.search(int)+0x4e (/tmp/perf-15470.map)
            java 15471  3166.708760:       3856                                                              mem-stores:      7f1fc537c90e int pim.algorithm.TreeNode.search(int)+0x4e (/tmp/perf-15470.map)
            java 15471  3166.708781:        288                                                         LLC-load-misses:      7f1fc537c96d int pim.algorithm.TreeNode.search(int)+0xad (/tmp/perf-15470.map)
            java 15471  3166.708810:        557                                                               LLC-loads:      7f1fc537c9c1 int pim.algorithm.TreeNode.search(int)+0x101 (/tmp/perf-15470.map)
            java 15471  3166.708810:       3880                                                              mem-stores:      7f1fc537c9c1 int pim.algorithm.TreeNode.search(int)+0x101 (/tmp/perf-15470.map)
            java 15471  3166.708829:        288                                                         LLC-load-misses:      7f1fc537c8f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-15470.map)
            java 15471  3166.708856:        557                                                               LLC-loads:      7f1fc537c90e int pim.algorithm.TreeNode.search(int)+0x4e (/tmp/perf-15470.map)
            java 15471  3166.708908:        564                                                               LLC-loads:      7f1fc537c952 int pim.algorithm.TreeNode.search(int)+0x92 (/tmp/perf-15470.map)
            java 15471  3166.708915:       3889                                                              mem-stores:      7f1fc537c91c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-15470.map)
            java 15471  3166.708932:        290                                                         LLC-load-misses:      7f1fc537c952 int pim.algorithm.TreeNode.search(int)+0x92 (/tmp/perf-15470.map)
            java 15471  3166.708962:        563                                                               LLC-loads:      7f1fc537c952 int pim.algorithm.TreeNode.search(int)+0x92 (/tmp/perf-15470.map)
            java 15471  3166.708966:       3858                                                              mem-stores:      7f1fc537c8e0 int pim.algorithm.TreeNode.search(int)+0x20 (/tmp/perf-15470.map)
            java 15471  3166.708983:        290                                                         LLC-load-misses:      7f1fc537c90a int pim.algorithm.TreeNode.search(int)+0x4a (/tmp/perf-15470.map)
            java 15471  3166.709017:        560                                                               LLC-loads:      7f1fc537c91c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-15470.map)
            java 15471  3166.709020:       3852                                                              mem-stores:      7f1fc537c90e int pim.algorithm.TreeNode.search(int)+0x4e (/tmp/perf-15470.map)
            java 15471  3166.709037:        290                                                         LLC-load-misses:      7f1fc537c9ab int pim.algorithm.TreeNode.search(int)+0xeb (/tmp/perf-15470.map)
            java 15471  3166.709068:        555                                                               LLC-loads:      7f1fc537c97b int pim.algorithm.TreeNode.search(int)+0xbb (/tmp/perf-15470.map)
            java 15471  3166.709087:        289                                                         LLC-load-misses:      7f1fc537c96d int pim.algorithm.TreeNode.search(int)+0xad (/tmp/perf-15470.map)
            java 15471  3166.709118:        555                                                               LLC-loads:      7f1fc537c90e int pim.algorithm.TreeNode.search(int)+0x4e (/tmp/perf-15470.map)
            java 15471  3166.709138:        290                                                         LLC-load-misses:      7f1fc537c91c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-15470.map)
            java 15471  3166.709166:        556                                                               LLC-loads:      7f1fc537c8f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-15470.map)
            java 15471  3166.709170:       3834                                                              mem-stores:      7f1fc537c97b int pim.algorithm.TreeNode.search(int)+0xbb (/tmp/perf-15470.map)
            java 15471  3166.709215:        560                                                               LLC-loads:      7f1fc537c8f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-15470.map)
            java 15471  3166.709217:       3841                                                              mem-stores:      7f1fc537c8f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-15470.map)
            java 15471  3166.709238:        291                                                         LLC-load-misses:      7f1fc537c8f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-15470.map)
            java 15471  3166.709266:        563                                                               LLC-loads:      7f1fc537c952 int pim.algorithm.TreeNode.search(int)+0x92 (/tmp/perf-15470.map)
            java 15471  3166.709268:       3882                                                              mem-stores:      7f1fc537c952 int pim.algorithm.TreeNode.search(int)+0x92 (/tmp/perf-15470.map)
            java 15471  3166.709291:        292                                                         LLC-load-misses:      7f1fc537c9c1 int pim.algorithm.TreeNode.search(int)+0x101 (/tmp/perf-15470.map)
            java 15471  3166.709315:       3880                                                              mem-stores:      7f1fc537c97b int pim.algorithm.TreeNode.search(int)+0xbb (/tmp/perf-15470.map)
            java 15471  3166.709319:        563                                                               LLC-loads:      7f1fc537c993 int pim.algorithm.TreeNode.search(int)+0xd3 (/tmp/perf-15470.map)
            java 15471  3166.709342:        292                                                         LLC-load-misses:      7f1fc537c9c0 int pim.algorithm.TreeNode.search(int)+0x100 (/tmp/perf-15470.map)
            java 15471  3166.709372:        562                                                               LLC-loads:      7f1fc537c8f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-15470.map)
            java 15471  3166.709394:        292                                                         LLC-load-misses:      7f1fc537c97b int pim.algorithm.TreeNode.search(int)+0xbb (/tmp/perf-15470.map)
            java 15471  3166.709418:       3905                                                              mem-stores:      7f1fc537c901 int pim.algorithm.TreeNode.search(int)+0x41 (/tmp/perf-15470.map)
            java 15471  3166.709423:        560                                                               LLC-loads:      7f1fc537c96d int pim.algorithm.TreeNode.search(int)+0xad (/tmp/perf-15470.map)
