            java 20419  4095.537054:         28                                                        LLC-store-misses:      7f1f0540ad00 int pim.algorithm.TreeNode.search(int)+0x4060 (/tmp/perf-20418.map)
            java 20419  4095.548075:         50                                                        LLC-store-misses:      7f1f054309d1 int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0x291 (/tmp/perf-20418.map)
            java 20419  4095.552289:         43                                                        LLC-store-misses:      7f1f0543199e int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0x125e (/tmp/perf-20418.map)
            java 20419  4095.559448:         30                                                        LLC-store-misses:      7f1f05432f22 int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0x27e2 (/tmp/perf-20418.map)
            java 20419  4095.563172:         29                                                        LLC-store-misses:      7f1f05430aab int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0x36b (/tmp/perf-20418.map)
 C2 CompilerThre 20433  4097.224895:      22231                                                        L1-dcache-stores:      7f1f1a1a828e IfNode::search_identical+0x3e (/home/upmem0054/hwanhong/jdk-17.0.1/lib/server/libjvm.so)
            java 20419  4098.509739:       3140                                                              mem-stores:      7f1f05431f1b int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0x17db (/tmp/perf-20418.map)
            java 20419  4098.518704:       3569                                                              mem-stores:      7f1f05430b9c int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0x45c (/tmp/perf-20418.map)
            java 20419  4098.575834:       3657                                                        L1-dcache-stores:      7f1f05407000 int pim.algorithm.TreeNode.search(int)+0x360 (/tmp/perf-20418.map)
            java 20419  4098.655716:       3750                                                        L1-dcache-stores:      7f1f054331c0 int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0x2a80 (/tmp/perf-20418.map)
            java 20419  4098.655718:       3973                                                              mem-stores:      7f1f054331c0 int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0x2a80 (/tmp/perf-20418.map)
            java 20419  4098.687176:         46                                                        LLC-store-misses:      7f1f05431305 int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0xbc5 (/tmp/perf-20418.map)
            java 20419  4098.687178:       3727                                                        L1-dcache-stores:      7f1f05431e6f int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0x172f (/tmp/perf-20418.map)
