            java 13986  3026.074631:      10908                                                              mem-stores:      7f7efdf79335 int pim.algorithm.TreeNode.search(int)+0x535 (/tmp/perf-13985.map)
            java 13986  3026.074647:      10763                                                        L1-dcache-stores:      7f7efdf78e74 int pim.algorithm.TreeNode.search(int)+0x74 (/tmp/perf-13985.map)
            java 13986  3026.074685:      10799                                                              mem-stores:      7f7efdf78e4e int pim.algorithm.TreeNode.search(int)+0x4e (/tmp/perf-13985.map)
            java 13986  3026.074698:      10724                                                        L1-dcache-stores:      7f7efdf79332 int pim.algorithm.TreeNode.search(int)+0x532 (/tmp/perf-13985.map)
            java 13986  3026.074710:        414                                                               LLC-loads:      7f7efdf79332 int pim.algorithm.TreeNode.search(int)+0x532 (/tmp/perf-13985.map)
            java 13986  3026.074732:      10678                                                              mem-stores:      7f7efdf79332 int pim.algorithm.TreeNode.search(int)+0x532 (/tmp/perf-13985.map)
            java 13986  3026.074745:      10673                                                        L1-dcache-stores:      7f7efdf78fee int pim.algorithm.TreeNode.search(int)+0x1ee (/tmp/perf-13985.map)
            java 13986  3026.074757:        412                                                               LLC-loads:      7f7efdf79009 int pim.algorithm.TreeNode.search(int)+0x209 (/tmp/perf-13985.map)
            java 13986  3026.074783:      10703                                                              mem-stores:      7f7efdf7932f int pim.algorithm.TreeNode.search(int)+0x52f (/tmp/perf-13985.map)
            java 13986  3026.074805:        414                                                               LLC-loads:      7f7efdf78fea int pim.algorithm.TreeNode.search(int)+0x1ea (/tmp/perf-13985.map)
            java 13986  3026.074833:      10664                                                              mem-stores:      7f7efdf78fee int pim.algorithm.TreeNode.search(int)+0x1ee (/tmp/perf-13985.map)
            java 13986  3026.074849:      10636                                                        L1-dcache-stores:      7f7efdf78fee int pim.algorithm.TreeNode.search(int)+0x1ee (/tmp/perf-13985.map)
            java 13986  3026.074865:        415                                                               LLC-loads:      7f7efdf79332 int pim.algorithm.TreeNode.search(int)+0x532 (/tmp/perf-13985.map)
            java 13986  3026.074883:      10628                                                              mem-stores:      7f7efdf78f25 int pim.algorithm.TreeNode.search(int)+0x125 (/tmp/perf-13985.map)
            java 13986  3026.074896:      10555                                                        L1-dcache-stores:      7f7efdf79332 int pim.algorithm.TreeNode.search(int)+0x532 (/tmp/perf-13985.map)
            java 13986  3026.074922:        407                                                               LLC-loads:      7f7efdf79016 int pim.algorithm.TreeNode.search(int)+0x216 (/tmp/perf-13985.map)
            java 13986  3026.074949:      10606                                                        L1-dcache-stores:      7f7efdf793ce int pim.algorithm.TreeNode.search(int)+0x5ce (/tmp/perf-13985.map)
            java 13986  3026.074977:        401                                                               LLC-loads:      7f7efdf78fea int pim.algorithm.TreeNode.search(int)+0x1ea (/tmp/perf-13985.map)
            java 13986  3026.074999:      10496                                                        L1-dcache-stores:      7f7efdf79342 int pim.algorithm.TreeNode.search(int)+0x542 (/tmp/perf-13985.map)
            java 13986  3026.075028:        396                                                               LLC-loads:      7f7efdf790a0 int pim.algorithm.TreeNode.search(int)+0x2a0 (/tmp/perf-13985.map)
            java 13986  3026.075035:      10457                                                              mem-stores:      7f7efdf78e27 int pim.algorithm.TreeNode.search(int)+0x27 (/tmp/perf-13985.map)
            java 13986  3026.075049:      10458                                                        L1-dcache-stores:      7f7efdf79243 int pim.algorithm.TreeNode.search(int)+0x443 (/tmp/perf-13985.map)
            java 13986  3026.075075:        396                                                               LLC-loads:      7f7efdf78fc6 int pim.algorithm.TreeNode.search(int)+0x1c6 (/tmp/perf-13985.map)
            java 13986  3026.075083:      10457                                                              mem-stores:      7f7efdf7932f int pim.algorithm.TreeNode.search(int)+0x52f (/tmp/perf-13985.map)
            java 13986  3026.075095:      10445                                                        L1-dcache-stores:      7f7efdf79332 int pim.algorithm.TreeNode.search(int)+0x532 (/tmp/perf-13985.map)
            java 13986  3026.075125:        398                                                               LLC-loads:      7f7efdf79098 int pim.algorithm.TreeNode.search(int)+0x298 (/tmp/perf-13985.map)
            java 13986  3026.075131:      10486                                                              mem-stores:      7f7efdf79022 int pim.algorithm.TreeNode.search(int)+0x222 (/tmp/perf-13985.map)
            java 13986  3026.075146:      10516                                                        L1-dcache-stores:      7f7efdf79480 int pim.algorithm.TreeNode.search(int)+0x680 (/tmp/perf-13985.map)
            java 13986  3026.075174:        398                                                               LLC-loads:      7f7efdf78f38 int pim.algorithm.TreeNode.search(int)+0x138 (/tmp/perf-13985.map)
