            java  3905 17107.442963:        334                                                         LLC-load-misses:      7f0e3938d5bc int pim.algorithm.TreeNode.search(int)+0xfc (/tmp/perf-3904.map)
            java  3905 17107.442996:        490                                                               LLC-loads:      7f0e3938d57b int pim.algorithm.TreeNode.search(int)+0xbb (/tmp/perf-3904.map)
            java  3905 17107.443013:        337                                                         LLC-load-misses:      7f0e3938d593 int pim.algorithm.TreeNode.search(int)+0xd3 (/tmp/perf-3904.map)
            java  3905 17107.443049:        493                                                               LLC-loads:      7f0e3938d51c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-3904.map)
            java  3905 17107.443102:        493                                                               LLC-loads:      7f0e3938d50a int pim.algorithm.TreeNode.search(int)+0x4a (/tmp/perf-3904.map)
            java  3905 17107.443121:        338                                                         LLC-load-misses:      7f0e3938d569 int pim.algorithm.TreeNode.search(int)+0xa9 (/tmp/perf-3904.map)
            java  3905 17107.443150:        492                                                               LLC-loads:      7f0e3938d51c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-3904.map)
            java  3905 17107.443171:        337                                                         LLC-load-misses:      7f0e3938d569 int pim.algorithm.TreeNode.search(int)+0xa9 (/tmp/perf-3904.map)
            java  3905 17107.443200:        496                                                               LLC-loads:      7f0e3938d5ab int pim.algorithm.TreeNode.search(int)+0xeb (/tmp/perf-3904.map)
            java  3905 17107.443226:        339                                                         LLC-load-misses:      7f0e3938d51c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-3904.map)
            java  3905 17107.443254:        498                                                               LLC-loads:      7f0e3938d56d int pim.algorithm.TreeNode.search(int)+0xad (/tmp/perf-3904.map)
            java  3905 17107.443279:        337                                                         LLC-load-misses:      7f0e3938d57b int pim.algorithm.TreeNode.search(int)+0xbb (/tmp/perf-3904.map)
            java  3905 17107.443306:        496                                                               LLC-loads:      7f0e3938d57b int pim.algorithm.TreeNode.search(int)+0xbb (/tmp/perf-3904.map)
            java  3905 17107.443330:        337                                                         LLC-load-misses:      7f0e3938d593 int pim.algorithm.TreeNode.search(int)+0xd3 (/tmp/perf-3904.map)
            java  3905 17107.443357:        496                                                               LLC-loads:      7f0e3938d552 int pim.algorithm.TreeNode.search(int)+0x92 (/tmp/perf-3904.map)
            java  3905 17107.443381:        337                                                         LLC-load-misses:      7f0e3938d552 int pim.algorithm.TreeNode.search(int)+0x92 (/tmp/perf-3904.map)
