# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 425K of event 'LLC-load-misses'
# Event count (approx.): 71882401
#
# Overhead  Command          Shared Object        Symbol                                                                                                                                                                       
# ........  ...............  ...................  .............................................................................................................................................................................
#
     0.03%  C2 CompilerThre  [kernel.kallsyms]    [k] perf_iterate_ctx
     0.03%  GC Thread#15     libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.03%  G1 Refine#7      libjvm.so            [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.03%  VM Thread        [kernel.kallsyms]    [k] perf_iterate_ctx
     0.03%  GC Thread#9      libjvm.so            [.] OopOopIterateDispatch<G1ScanCardClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.03%  G1 Refine#7      libjvm.so            [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, narrowOop>
     0.03%  G1 Refine#7      libjvm.so            [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.02%  GC Thread#20     libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.02%  GC Thread#20     libjvm.so            [.] OopOopIterateDispatch<G1ScanCardClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.02%  C2 CompilerThre  libjvm.so            [.] PhaseOutput::BuildOopMaps
     0.02%  GC Thread#4      libjvm.so            [.] G1ScanCardClosure::do_oop_work<narrowOop>
     0.02%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::build_ifg_physical
     0.02%  GC Thread#8      libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.02%  GC Thread#16     libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.02%  GC Thread#17     libjvm.so            [.] OopOopIterateDispatch<G1ScanCardClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.02%  G1 Refine#8      libjvm.so            [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.02%  GC Thread#0      libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.02%  GC Thread#18     [kernel.kallsyms]    [k] copy_page
     0.02%  G1 Refine#18     libjvm.so            [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.02%  GC Thread#20     libjvm.so            [.] G1ScanCardClosure::do_oop_work<narrowOop>
     0.02%  G1 Refine#8      libjvm.so            [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, narrowOop>
     0.02%  G1 Refine#13     libjvm.so            [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.02%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::Select
     0.02%  G1 Refine#9      libjvm.so            [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, narrowOop>
     0.02%  GC Thread#3      libjvm.so            [.] OopOopIterateDispatch<G1ScanCardClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.02%  GC Thread#3      libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.02%  GC Thread#3      libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.02%  G1 Refine#0      libjvm.so            [.] oopDesc::size_given_klass
     0.02%  GC Thread#7      libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.02%  G1 Refine#16     libjvm.so            [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.02%  GC Thread#5      libjvm.so            [.] G1ScanCardClosure::do_oop_work<narrowOop>
     0.02%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::add_input_to_liveout
     0.02%  G1 Refine#11     libjvm.so            [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.02%  GC Thread#11     libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.02%  G1 Refine#14     libjvm.so            [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.02%  GC Thread#3      libjvm.so            [.] G1ScanCardClosure::do_oop_work<narrowOop>
     0.02%  java             perf-19708.map       [.] boolean java.lang.StringLatin1.equals(byte[], byte[])
     0.02%  C2 CompilerThre  [kernel.kallsyms]    [k] copy_page
     0.02%  G1 Refine#7      libjvm.so            [.] OtherRegionsTable::add_reference
     0.02%  GC Thread#5      [kernel.kallsyms]    [k] copy_page
     0.02%  GC Thread#16     libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.02%  GC Thread#2      [kernel.kallsyms]    [k] copy_page
     0.02%  G1 Refine#10     libjvm.so            [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.02%  G1 Refine#9      libjvm.so            [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.02%  C2 CompilerThre  libjvm.so            [.] Node::replace_by
     0.02%  C2 CompilerThre  libjvm.so            [.] IndexSet::IndexSet
