# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4M of event 'LLC-load-misses'
# Event count (approx.): 3823068077
#
# Overhead  Command          Shared Object        Symbol                                                                                                                                                                                                 
# ........  ...............  ...................  .......................................................................................................................................................................................................
#
     0.00%  C2 CompilerThre  libpthread-2.28.so   [.] __pthread_mutex_unlock_usercnt
     0.00%  C2 CompilerThre  libjvm.so            [.] MachSafePointNode::jvms
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::use_prior_register
     0.00%  C2 CompilerThre  libjvm.so            [.] JVMState::of_depth
     0.00%  java             [kernel.kallsyms]    [k] change_protection
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::insert_proj
     0.00%  C1 CompilerThre  libjvm.so            [.] ValueStack::pin_stack_for_linear_scan
     0.00%  C2 CompilerThre  libjvm.so            [.] loadConINode::bottom_type
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseIFG::Compute_Effective_Degree
     0.00%  C2 CompilerThre  libjvm.so            [.] jmpDirNode::is_block_proj
     0.00%  GC Thread#16     libjvm.so            [.] G1ScanCardClosure::do_oop_work<oopDesc*>
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseIterGVN::remove_speculative_types
     0.00%  C2 CompilerThre  [kernel.kallsyms]    [k] select_task_rq_fair
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseIdealLoop::dom_lca_for_get_late_ctrl_internal
     0.00%  G1 Refine#6      libjvm.so            [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.00%  C1 CompilerThre  libjvm.so            [.] LinearScan::init_compute_oop_maps
     0.00%  C1 CompilerThre  libjvm.so            [.] Range::intersects_at
     0.00%  C1 CompilerThre  libjvm.so            [.] LIR_Assembler::move_op
     0.00%  C2 CompilerThre  libc-2.28.so         [.] _int_malloc
     0.00%  C2 CompilerThre  libjvm.so            [.] NTarjan::DFS
     0.00%  C1 CompilerThre  libjvm.so            [.] LinearScan::calc_operand_for_interval
