# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 247K of event 'LLC-load-misses'
# Event count (approx.): 255920901
#
# Overhead  Command          Shared Object        Symbol                                                                                                                                                                                    
# ........  ...............  ...................  ..........................................................................................................................................................................................
#
     0.03%  C2 CompilerThre  libjvm.so            [.] RegMask::is_bound
     0.03%  C2 CompilerThre  libjvm.so            [.] Node::rematerialize
     0.03%  GC Thread#22     libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.03%  C1 CompilerThre  libjvm.so            [.] LinearScan::number_instructions
     0.03%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::compact
     0.03%  java             [kernel.kallsyms]    [k] __activate_page
     0.03%  C2 CompilerThre  libjvm.so            [.] ChunkPool::allocate
     0.03%  C2 CompilerThre  libjvm.so            [.] PhaseIdealLoop::get_late_ctrl_with_anti_dep
     0.03%  C1 CompilerThre  libjvm.so            [.] Location::write_on
     0.03%  C1 CompilerThre  libjvm.so            [.] ProfileCall::input_values_do
     0.03%  C1 CompilerThre  libjvm.so            [.] PhiSimplifier::block_do
     0.03%  C1 CompilerThre  libjvm.so            [.] ValueStack::total_locks_size
     0.03%  GC Thread#13     libjvm.so            [.] G1ScanCardClosure::do_oop_work<oopDesc*>
     0.03%  C2 CompilerThre  libjvm.so            [.] PhaseCCP::analyze
     0.03%  C2 CompilerThre  libjvm.so            [.] MachNode::ideal_reg
     0.03%  GC Thread#9      libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.03%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::mark_ssa
     0.03%  C2 CompilerThre  libjvm.so            [.] PhaseCCP::transform
     0.03%  G1 Refine#2      libjvm.so            [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.03%  C2 CompilerThre  libjvm.so            [.] __tls_get_addr@plt
     0.03%  C1 CompilerThre  libjvm.so            [.] LIR_Assembler::emit_lir_list
     0.03%  java             perf-8464.map        [.] boolean java.lang.String.equals(java.lang.Object)
     0.03%  C2 CompilerThre  libjvm.so            [.] Node::is_CFG
     0.03%  GC Thread#10     libc-2.28.so         [.] __memmove_sse2_unaligned_erms
     0.02%  C2 CompilerThre  libjvm.so            [.] Compile::final_graph_reshaping_walk
     0.02%  C2 CompilerThre  libjvm.so            [.] Dict::Insert
     0.02%  C2 CompilerThre  libpthread-2.28.so   [.] __pthread_mutex_unlock_usercnt
     0.02%  java             perf-8464.map        [.] java.lang.String[] java.lang.String.split(java.lang.String, int)
     0.02%  GC Thread#8      libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.02%  C2 CompilerThre  libjvm.so            [.] RegMask::is_misaligned_pair
