# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5M of event 'LLC-load-misses'
# Event count (approx.): 4082090216
#
# Overhead  Command          Shared Object        Symbol                                                                                                                                                                                    
# ........  ...............  ...................  ..........................................................................................................................................................................................
#
     0.00%  DPU_WORK_0100    [kernel.kallsyms]    [k] sched_clock_cpu
     0.00%  C1 CompilerThre  libjvm.so            [.] BlockBegin::iterate_preorder
     0.00%  java             libdpu.so.0.0        [.] dpu_get_symbol
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseIdealLoop::build_loop_tree
     0.00%  C1 CompilerThre  libjvm.so            [.] InstanceKlass::find_method_index
     0.00%  java             libdpu.so.0.0        [.] dpu_thread_job_get_job_unlocked
     0.00%  GC Thread#3      libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.00%  java             libdpu.so.0.0        [.] dpu_thread_job_add_jobs
     0.00%  DPU_WORK_0400    libpthread-2.28.so   [.] __pthread_mutex_cond_lock
     0.00%  GC Thread#11     libc-2.28.so         [.] __memmove_sse2_unaligned_erms
     0.00%  GC Thread#19     libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::gather_lrg_masks
     0.00%  C2 CompilerThre  libjvm.so            [.] Node::jvms
     0.00%  GC Thread#6      libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::de_ssa
     0.00%  DPU_WORK_0300    libpthread-2.28.so   [.] __pthread_mutex_cond_lock
     0.00%  DPU_WORK_0000    libdpu.so.0.0        [.] dpu_thread_job_fct
     0.00%  C1 CompilerThre  libjvm.so            [.] Interval::split_child_at_op_id
     0.00%  C2 CompilerThre  libjvm.so            [.] Matcher::xform
     0.00%  C2 CompilerThre  libjvm.so            [.] Type::cmp
     0.00%  GC Thread#1      libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.00%  C2 CompilerThre  libjvm.so            [.] MachNode::in_RegMask
     0.00%  GC Thread#2      libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.00%  DPU_WORK_0100    libdpu.so.0.0        [.] dpu_copy_from_wram_for_matrix
     0.00%  java             [kernel.kallsyms]    [k] __list_add_valid
     0.00%  C1 CompilerThre  libjvm.so            [.] Invoke::input_values_do
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::skip_copies
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::remove_node_if_not_used
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseOutput::fill_buffer
     0.00%  DPU_WORK_0100    libpthread-2.28.so   [.] pthread_cond_wait@@GLIBC_2.3.2
     0.00%  java             perf-3680.map        [.] framework.pim.dpu.cache.DPUClassFileLookupTableItem framework.pim.dpu.DPULookupTableManagerUPMEM.getClassLookupTableItem(java.lang.String)
     0.00%  java             [kernel.kallsyms]    [k] __x64_sys_futex
     0.00%  GC Thread#10     libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.00%  GC Thread#7      libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.00%  C1 CompilerThre  libjvm.so            [.] LinearScan::sort_intervals_after_allocation
     0.00%  DPU_WORK_0300    [kernel.kallsyms]    [k] __x64_sys_futex
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::stretch_base_pointer_live_ranges
     0.00%  DPU_WORK_0000    [kernel.kallsyms]    [k] sched_clock_cpu
     0.00%  C1 CompilerThre  libjvm.so            [.] SubstitutionResolver::block_do
     0.00%  DPU_WORK_0200    libdpu.so.0.0        [.] dpu_thread_release_job_slot_unlocked
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::mark_ssa
     0.00%  C2 CompilerThre  libjvm.so            [.] InstanceKlass::find_method_index
     0.00%  C2 CompilerThre  libjvm.so            [.] Node::clone
     0.00%  java             [kernel.kallsyms]    [k] futex_wait
     0.00%  C1 CompilerThre  libjvm.so            [.] CodeEmitInfo::record_debug_info
     0.00%  G1 Refine#0      libjvm.so            [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
